iter	Passed	Remaining
0	246	246135
1	344	171978
2	427	141966
3	480	11962444	550	10955	55	609	1006	616	671	9577	708	878158	768	830	9199	89	937	92110	10	1048	9411	111	1114	9112	112	1194	13	11613	1286	90638
14	1354	15	13115	1432	88090
16	1503	17	14817	1578	18	15518	1648	19	16419	1709	20	17120	1782	21	1829	81321
22	1915	81360
23	2013	81873
24	2126	82928
25	2192	82152
26	2289	82515
27	2353	81698
28	2426	81248
29	2498	80782
30	2571	80376
31	2660	80490
32	2736	80194
33	2849	80948
34	2973	81981
35	3048	81621
36	3173	82589
37	3281	83083
38	3378	83251
39	3455	82924
40	3551	83080
41	3695	84285
42	3760	83683
43	3917	85122
44	4023	85394
45	4096	84962
46	4188	84938
47	4274	84774
48	4386	85135
49	4483	85180
50	4546	84594
51	4625	84327
52	4757	85014
53	4855	85069
54	4986	85674
55	5060	85301
56	5132	84911
57	5198	84437
58	5283	84265
59	5353	83875
60	5436	83679
61	5582	84450
62	5646	83976
63	5743	83993
64	5968	85851
65	6029	85323
66	6122	85264
67	6183	84743
68	6255	84402
69	6352	84391
70	6413	83919
71	6475	83461
72	6606	83892
73	6681	83611
74	6732	83030
75	6787	82527
76	6893	82631
77	6975	82455
78	7113	82927
79	7178	82554
80	7285	82662
81	7383	82653
82	7480	82644
83	7574	82596
84	7661	82470
85	7774	82627
86	7902	82935
87	8034	83268
88	8101	82928
89	8241	83328
90	8318	83089
91	8376	82676
9292	8471	82619393	8560	82509494	8640	823195	8708	82000
96	8770	81647
9797	8952	82399898	9102	82849999	9170	825310100	9243	822710101	9365	824510102	9458	82371
103	9515	81979
104	9594	81781
105	9650	813810106	9726	811710107	9858	814210108	10011	81836
109	10126	81110	110	10245	82053
111	10334	81939
112	10409	81711
113	10541	81930
114	10605	81615
115	10677	81367
116	10752	81150
117	10905	81516
118	10964	81175
119	11026	80860
120	11096	80121	121	11167	80122	122	11238	80123	123	11377	80124	124	11444	80125	125	11518	79126	126	11631	79127	127	11746	80128	128	11880	80129	129	11980	80130	130	12064	80131	131	12125	79132	132	12185	79133	133	12260	79134	134	12343	79135	135	12415	78136	136	12538	78137	137	12636	78138	138	12727	78139	139	12901	79140	140	12969	79141	141	13065	78946
142	13136	78725
143	13223	78607
144	13288	78357
145	13400	78383
146	13472	78175
147	13535	77919
148	13621	77798
149	13730	77807
150	13877	78025
151	13962	77896
152	14108	78102
153	14182	77911
154	14237	77617
155	14304	77389
156	14391	77273
157	14460	77158	158	14560	77015
159	14667	77003
160	14720	76712
161	14924	77201
162	14992	76985
163	15053	76733
164	15112	76478
165	15258	76662
166	15349	76563
167	15464	76587
168	15544	76436
169	15620	76262
170	15707	76147
171	15800	76062
172	15907	76043
173	16075	76310
174	16170	76175	175	16246	76176	176	16390	76210
177	16496	76180
178	16580	76049
179	16670	75943
180	16750	75793
181	16844	75709
182	16969	75758
183	17045	75591
184	17185	75707
185	17289	75666
186	17362	75483
187	17423	75255
188	17517	75165
189	17608	75066
190	17677	74873
191	17763	74756
192	17929	74970
193	18014	74845
194	18123	74819
195	18188	74610
196	18288	74547
197	18367	74396
198	18449	74199	199	18529	74200	200	18641	74103
201	18740	74035
202	18908	74237
203	19028	74247
204	19094	74048
205	19154	73829
206	19250	73747
207	19355	73701
208	19507	73830
209	19612	73779
210	19716	73726
211	19959	74188
212	20104	74284
213	20237	74214	214	20322	74215	215	20403	74216	216	20544	74217	217	20664	74128
218	20803	74190
219	20913	74147
220	21021	74221	221	21112	73222	21187	73823
223	21278	73714
224	21401	73715
225	21487	73588
226	21575	73469
227	21733	73589
228	21919	73797
229	22040	73788
230	22139	73702
231	22308	73848
232	22389	73701
233	22481	73593
234	22581	73509
235	22663	73367
236	22763	73283
237	23018	73697
238	23131	73653
239	23194	73449
240	23277	73310
241	23399	73293
242	23468	73109
243	23557	72989
244	23631	72823
245	23698	72636
246	23919	72919
247	24039	72892
248	24207	73011
249	24285	72857
250	24345	72648
251	24486	72682
252	24551	72491
253	253	24678	72254	254	24807	72255	255	24902	72256	256	24999	72257	257	25096	72258	258	25177	72259	259	25270	71260	260	25397	71261	261	25480	71262	262	25621	71798
263	25738	71755
264	25832	71265	265	25981	71266	266	26137	71756
267	26525	72451
268	27065	73548
269	27208	73563
270	27294	73423
271	27411	73366
272	27510	73261
273	27606	73274	274	27750	73160
275	27888	73276	276	28115	73277	277	28317	73278	278	28444	73507
279	28514	73280	280	28601	73183
281	28749	73198
282	28859	73118
283	28927	72929
284	29015	72792
285	29103	72657
286	29183	72500
287	29271	72366
288	29371	72258
289	29478	72172
290	29582	72076
291	29638	71863
292	29763	71818
293	29875	71741
294	29991	71675
295	30126	71652
296	30299	71720
297	30503	71856
298	30626	71803
299	30712	71663
300	30837	71613
301	30907	71435
302	30985	71303	303	31104	71212
304	31208	71113
305	31317	71026
306	31420	70926
307	31488	70747
308	31591	70647
309	31754	70679
310	31876	70620
311	31952	70460
312	32082	70417
313	32181	70307
314	32340	70327
315	32474	70292
316	32537	70104
317	32635	69991
318	32738	69890
319	32936	69990
320	33024	69856
321	33197	69900
322	33306	69809
323	33407	69702
324	33538	69657
325	33755	69788
326	33884	69738
327	34183	70035
328	34298	69951
329	34464	69973
330	34590	69912
331	34837	70095
332	34968	70042
333	35097	69985
334	35276	70027
335	35453	70063
336	35526	69893
337	35665	69852
338	35761	69729
339	35837	69566
340	35949	69475
341	36124	69502
342	36262	69458
343	36350	69319
344	36449	69201
345	36517	69024
346	36705	69074
347	36894	69125
348	37113	69228
349	37206	69098
350	37371	69100
351	37459	68960
352	37554	68832
353	37657	68719
354	37948	68949
355	38067	68863
356	38207	68816
357	38361	68793
358	38499	68741
359	38594	68611
360	38746	68583
361	38846	68463
362	38978	68400
363	39107	68329
364	39211	68217
365	39293	68065
366	39385	67932
367	39485	67811
368	39560	67649
369	39764	67706
370	39880	67613
371	39968	67473
372	40206	67585
373	40299	67453
374	40425	67375
375	40512	67233
376	40648	67172
377	40811	67154
378	40942	67084
379	41014	66917
380	41094	66765
381	41175	66613
382	41257	66464
383	41363	66353
384	41450	66212
385	41512	66033
386	41637	65953
387	41731	65823
388	41789	65637
389	41928	65580
390	42039	65478
391	42196	65446
392	42263	65277
393	42334	65112
394	42489	65078
395	42626	65016
396	42730	64902
397	42823	64773
398	42935	64671
399	42996	64495
400	43107	64392
401	43192	64250
402	43300	64145
403	43372	63984
404	43519	63936
405	43655	63869
406	43748	63742
407	43843	63615
408	43929	63477
409	44029	63358
410	44102	63202
411	44187	63064
412	44313	62413	413	44401	62414	414	44475	62415	415	44732	62797
416	44939	62417	417	45133	62841
418	45284	62792
419	45392	62420	420	45546	62421	421	45650	62422	422	45789	62423	423	45852	62424	45976	62203
425	425	46063	62426	426	46138	61427	427	46232	61428	428	46376	61429	429	46462	61430	430	46661	61431	431	46833	61577
432	46971	61507
433	47070	61387
434	47254	61376
435	47331	61227
436	47405	61073
437	47501	60949
438	47612	60844
439	47755	60779
440	47831	60630
441	47899	60442	442	48019	60376
443	48125	60265
444	48201	60445	445	48286	59446	446	48463	59447	447	48572	59448	448	48756	59449	449	48850	59450	450	49040	59451	451	49176	59620
452	49240	59458
453	49385	59393
454	49488	59455	455	49615	59190
456	49702	59457	457	49915	59070
458	50385	59459	459	50675	59488
460	50766	59461	461	50901	59274
462	51017	59171
463	51123	59464	464	51214	58465	465	51293	58466	466	51390	58467	467	51537	58468	468	51736	58469	469	51822	58470	470	51934	58471	471	52059	58472	472	52162	58473	473	52254	57474	474	52328	57475	475	52451	57476	476	52589	57477	477	52733	57478	478	52890	57479	479	52973	57480	53112	57308
481	481	53223	57482	482	53395	57153
483	53578	57120
484	53662	56981
485	53814	56915
486	53897	56774
487	54083	56743
488	54185	56622
489	54336	56554
490	54542	56542
491	54757	56538
492	54850	56407
493	55053	56390
494	55154	56268
495	55302	56193
496	55418	56087
497	55556	56002
498	55696	55919
499	55846	55846
500	56036	55813
501	56156	55708
502	56250	55579
503	56429	55533
504	56544	55424
505	56744	55398
506	56881	55310
507	57031	55235
508	57146	55125
509	57287	55040
510	57469	54995
511	57592	54892
512	57696	54772
513	57853	54701
514	57941	54566
515	58029	54431
516	58159	54334
517	58240	54192
518	58370	54096
519	58523	54022
520	58641	53913
521	58862	53900
522	59132	53931
523	59423	53980
524	59665	53983
525	59800	53888
526	59943	53801
527	60258	53867
528	60683	54029
529	60881	53989
530	61029	53903
531	61224	53859
532	61588	53962
533	61803	53933
534	61974	53865
535	62171	53820
536	62592	53967
537	63112	54196
538	63249	54096
539	63529	54117
540	63875	54193
541	64164	54220
542	64580	54352
543	65149	54610
544	65525	54704
545	66012	54889
546	67125	55590
547	67921	56022
548	68708	56443
549	69377	56763
550	69851	56920
551	70398	57134
552	71373	57692
553	71888	57873
554	72417	58064
555	72784	58122
556	73772	58673
557	74494	59008
558	75004	59171
559	76528	60129
560	78213	61204
561	79238	61755
562	80729	62661
563	82000	63390
564	82573	63574
565	83072	63698
566	84036	64176
567	84687	64409
568	85267	64587
569	85919	64816
570	86234	64789
571	86793	64943
572	86982	64819
573	87244	64749
574	87704	64825
575	88216	64937
576	88584	64941
577	88788	64824
578	88913	64650
579	89195	64589
580	89352	64438
581	89827	64514
582	90035	64399
583	90283	64311
584	90580	64258
585	90743	64108
586	91171	64146
587	91576	64165
588	91908	64133
589	92137	64027
590	92319	63889
591	92644	63849
592	92824	63709
593	92940	63524
594	93027	63321
595	93187	63167
596	93357	63020
597	93642	62950
598	93968	62907
599	94131	62754
600	94373	62654
601	94749	62641
602	94932	62501
603	95232	62437
604	95421	62299
605	95629	62174
606	95908	62095
607	96094	61955
608	96297	61826
609	96492	61691
610	96661	61540
611	96762	61346
612	96906	61179
613	97057	61016
614	97150	60817
615	97336	60677
616	97547	60552
617	97624	60344
618	97873	60241
619	98044	60091
620	98206	59935
621	98391	59794
622	98569	59648
623	98748	59502
624	98872	59323
625	98988	59139
626	99082	58943
627	99167	58742
628	99257	58544
629	99401	58378
630	99613	58252
631	99704	58055
632	99900	57920
633	100168	57825
634	100259	57629
635	100365	57442
636	100525	57285
637	100689	57131
638	100819	56957
639	100944	56781
640	101112	56629
641	101280	56477
642	101411	56304
643	101558	56140
644	101698	55973
645	101801	55786
646	102086	55697
647	102194	55512
648	102387	55374
649	102554	55221
650	102738	55077
651	102878	54910
652	103073	54772
653	103252	54625
654	103574	54554
655	103707	54383
656	104023	54307
657	104493	54311
658	104741	54198
659	104963	54072
660	105061	53881
661	105168	53696
662	105396	53572
663	105577	53425
664	105849	53322
665	105951	53134
666	106121	52980
667	106462	52912
668	106618	52751
669	106699	52553
670	106789	52360
671	106953	52203
672	107121	52048
673	107307	51902
674	107794	51900
675	108009	51767
676	108580	51804
677	108782	51663
678	108885	51475
679	108968	51279
680	109060	51087
681	109137	50888
682	109291	50725
683	109477	50577
684	109553	50378
685	109619	50175
686	109736	49996
687	109877	49828
688	109997	49650
689	110083	49457
690	110217	49286
691	110452	49160
692	110572	48983
693	110657	48791
694	110737	48596
695	110791	48391
696	110866	48196
697	111140	48086
698	111230	47897
699	111374	47732
700	111556	47582
701	111666	47402
702	111796	47231
703	111890	47044
704	111967	46851
705	112022	46649
706	112117	46464
707	112257	46298
708	112451	46154
709	112557	45974
710	112693	45806
711	112762	45611
712	112818	45412
713	112886	45217
714	112930	45014
715	112976	44811
716	113021	44609
717	113064	44406
718	113127	44212
719	113308	44064
720	113473	43910
721	113551	43722
722	113599	43522
723	113659	43328
724	113726	43137
725	113869	42975
726	113914	42776
727	113970	42582
728	114023	42387
729	114074	42192
730	114120	41995
731	114162	41797
732	114244	41614
733	114546	41511
734	114649	41336
735	114768	41167
736	114932	41013
737	115041	40841
738	115181	40679
739	115282	40504
740	115512	40374
741	115681	40223
742	115749	40037
743	115850	39862
744	115974	39695
745	116162	39551
746	116350	39406
747	116515	39254
748	116679	39100
749	116856	38952
750	116950	38776
751	117019	38591
752	117105	38413
753	117257	38256
754	117476	38121
755	117603	37956
756	117701	37782
757	117803	37610
758	118042	37481
759	118145	37309
760	118424	37192
761	118782	37100
762	118879	36925
763	119032	36769
764	119225	36624
765	119561	36523
766	119713	36366
767	119829	36198
768	119999	36046
769	120074	35866
770	120279	35724
771	120556	35604
772	120828	35482
773	120933	35311
774	121020	35135
775	121184	34980
776	121362	34831
777	121517	34674
778	121630	34506
779	121827	34361
780	121960	34198
781	122122	34044
782	122237	33876
783	122549	33763
784	122766	33623
785	122882	33456
786	122957	33278
787	123081	33113
788	123128	32927
789	123184	32745
790	123245	32564
791	123472	32427
792	123556	32252
793	123639	32077
794	123760	31913
795	123826	31734
796	123890	31555
797	123937	31372
798	123992	31192
799	124091	31022
800	124178	30850
801	124252	30675
802	124372	30512
803	124423	30332
804	124491	30156
805	124616	29994
806	124855	29860
807	124924	29685
808	125001	29511
809	125049	29332
810	125123	29159
811	125201	28987
812	125371	28837
813	125418	28658
814	125460	28478
815	125539	28307
816	125615	28136
817	125665	27959
818	125738	27788
819	125790	27612
820	125863	27441
821	125952	27274
822	126050	27109
823	126125	26939
824	126201	26770
825	126392	26624
826	126451	26452
827	126547	26287
828	126651	26124
829	126763	25963
830	126851	25797
831	126918	25627
832	126961	25453
833	127019	25282
834	127172	25129
835	127309	24974
836	127447	24819
837	127577	24662
838	127623	24490
839	127665	24317
840	127735	24149
841	127786	23978
842	127841	23809
843	127916	23643
844	127968	23473
845	128025	23304
846	128084	23136
847	128142	22968
848	128264	22812
849	128373	22654
850	128426	22485
851	128491	22320
852	128779	22193
853	128965	22047
854	129051	21885
855	129164	21728
856	129337	21581
857	129471	21427
858	129535	21262
859	129591	21096
860	129678	20935
861	129768	20774
862	129878	20618
863	129950	20455
864	130020	20292
865	130087	20128
866	130171	19968
867	130337	19820
868	130506	19673
869	130692	19528
870	130848	19379
871	131023	19232
872	131169	19081
873	131484	18955
874	131573	18796
875	131715	18644
876	131847	18491
877	131952	18335
878	132124	18187
879	132433	18059
880	132509	17898
881	132860	17774
882	133046	17628
883	133162	17473
884	133448	17340
885	133648	17196
886	133787	17043
887	133871	16884
888	134030	16734
889	134092	16573
890	134134	16409
891	134237	16252
892	134356	16098
893	134441	15940
894	134564	15786
895	134642	15628
896	134768	15475
897	134969	15330
898	135151	15183
899	135263	15029
900	135366	14873
901	135462	14717
902	135673	14574
903	135793	14420
904	135900	14265
905	136024	14112
906	136099	13955
907	136306	13810
908	136413	13656
909	136449	13495
910	136490	13334
911	136530	13174
912	136588	13015
913	136630	12855
914	136674	12696
915	136808	12545
916	136928	12393
917	137094	12245
918	137147	12088
919	137227	11932
920	137373	11783
921	137718	11650
922	137824	11497
923	138018	11352
924	138103	11197
925	138157	11040
926	138325	10892
927	138736	10764
928	138943	10618
929	139199	10477
930	139375	10329
931	139442	10173
932	139509	10018
933	139549	9861
934	139587	9703
935	139622	9546
936	139657	9390
937	139704	9234
938	139803	9081
939	139854	8926
940	139908	8772
941	139947	8616
942	139983	8461
943	140024	8306
944	140081	8152
945	140241	8005
946	140696	7874
947	140747	7720
948	140781	7565
949	140829	7412
950	140884	7259
951	140978	7108
952	141146	6961
953	141514	6823
954	141558	6670
955	141674	6520
956	141738	6368
957	141771	6215
958	141812	6062
959	141858	5910
960	141895	5758
961	141944	5606
962	142035	5457
963	142110	5307
964	142287	5160
965	142343	5010
966	142384	4859
967	142457	4709
968	142504	4558
969	142568	4409
970	142618	4259
971	142650	4109
972	142741	3960
973	142903	3814
974	142942	3665
975	142990	3516
976	143044	3367
977	143091	3218
978	143318	3074
979	143470	2927
980	143565	2780
981	143621	2632
982	143711	2485
983	143748	2337
984	143786	2189
985	143830	2042
986	143866	1894
987	143936	1748
988	144018	1601
989	144060	1455
990	144108	1308
991	144136	1162
992	144217	1016
993	144296	871
994	144383	725
995	144415	579
996	144445	434
997	144476	289
998	144511	144
999	144548	0
